0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-01-0053-42,16-01-0923,ALTA VERAPAZ,COBAN,EODP 'FEDERICO FROEBEL',3A AVE. 2-35 ZONA 1,79523888,EFRAIN CAAL CUC,YADIRA EDITH GARCIA RIVERA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0054-42,16-01-0924,ALTA VERAPAZ,COBAN,EODP NO.2 GUSTAVO ADOLFO LEAL KLUG,BARRIO MAGDALENA,54646793,MOISÉS ADRIÁN LÓPEZ PÉREZ,ALICIA YOMARA PONCE ORDOÑEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0055-42,16-001,ALTA VERAPAZ,COBAN,EODP ANEXA AL CENTRO DE ATENCION INTEGRAL,6A AVE 2-12 ZONA 2,79513343,EFRAIN CAAL CUC,,PARVULOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0056-42,16-01-0927,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM 209.5 ENTRADA A LA CIUDAD,53662146,ARMANDO AUDILIO POP CUCUL,JORGE EDY GUTIERREZ PONCE,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0057-42,16-01-0926,ALTA VERAPAZ,COBAN,COLEGIO COBAN,"KM.2 SALIDA A SAN JUAN CHAMELCO, ZONA 8",77945104,JOSE ARTURO CHOC CHEN,GUSTAVO ADOLFO SIERRA POP,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0058-42,,ALTA VERAPAZ,COBAN,EPDP 'EL HOGAR DEL CONEJITO FELIZ',4A CALLE 10-11 ZONA 2,,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0059-42,16-01-0925,ALTA VERAPAZ,COBAN,COLEGIO MIXTO EVANGELICO NAZARENO,6TA. CALLE 8-10 ZONA 10,79511866,NORA LILIANA FIGUEROA HERNÁNDEZ,ANA MARIA YAT COY,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0060-42,16-01-0926,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO LA INMACULADA,7A. AVENIDA 11-109 ZONA 6,78232301,JOSE ARTURO CHOC CHEN,VIRGINIA SOLANO SERRANO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0114-42,16-01-0928,ALTA VERAPAZ,COBAN,EODP ANEXA A EORM,ALDEA CHIRREPEC,40662425,SANDRA JEANETTE GARCÍA SÁNCHEZ,JOSÉ TUN CAO,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
