0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-01-0061-43,16-01-0923,ALTA VERAPAZ,COBAN,EOUN NO.1 'FELIPA GOMEZ',2A. CALLE 1-99 ZONA 4,42193763,EFRAIN CAAL CUC,HAROLDO BENJAMÍN HERRERA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0062-43,16-01-0923,ALTA VERAPAZ,COBAN,EOUV NO.2 'SALVADOR DE OLIVA',5A. CALLE 2-80 ZONA 3,79510749,EFRAIN CAAL CUC,SODELVA ESCARLETH BUENAFÉ PÉREZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0063-43,16-01-0924,ALTA VERAPAZ,COBAN,EOUV NO. 1 'VICTOR CHAVARRIA',10A. AVENIDA 4-22 ZONA 2,79510789,MOISÉS ADRIÁN LÓPEZ PÉREZ,NELSON RENE LOPEZ CAAL,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0064-43,16-01-0925,ALTA VERAPAZ,COBAN,"EOUM DE APLICACION ""GENERAL ARTURO GUILLERMO DE LA CRUZ GELPCKE""",6A. AVENIDA 6-66 ZONA 11 BARRIO LA LIBERTAD,77224928,NORA LILIANA FIGUEROA HERNÁNDEZ,FREDY GUILLERMO CUC MO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0065-43,16-01-0926,ALTA VERAPAZ,COBAN,EOUM,CANTON LAS CASAS,77945323,JOSE ARTURO CHOC CHEN,JUAN JOSÉ JOLOMNÁ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0066-43,16-01-0925,ALTA VERAPAZ,COBAN,EOUM 'RICARDO ANDERSON',9A. AVENIDA 7-28 ZONA 10,77250185,NORA LILIANA FIGUEROA HERNÁNDEZ,DANIEL BERNARDO RAMIREZ GONZÁLEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0067-43,16-01-0939,ALTA VERAPAZ,COBAN,EORM,ALDEA SAN JOSE ICBOLAY,50545422,AQUILES GEOVANI BAC GUEVARA,EDGAR BENJAMIN CAAL SAQUI,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0068-43,16-01-0938,ALTA VERAPAZ,COBAN,EORM,ALDEA SALACUIM,57852818,NELSON OMAR TENÍ BREMER,ANA MARIA CHOC COC,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0069-43,16-01-0939,ALTA VERAPAZ,COBAN,EORM,ALDEA SAN BENITO I,31996977,AQUILES GEOVANI BAC GUEVARA,ALMAGRO RIGOBERTO FRANCO FERNÁNDEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0070-43,26-008,ALTA VERAPAZ,COBAN,EDAC -PRONADE-,ALDEA EL TRIUNFO NUEVE CERROS,,PROYECTO HUN BARAHONA,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0071-43,16-01-0938,ALTA VERAPAZ,COBAN,EORM,ALDEA SAHOLOM,45398450,NELSON OMAR TENÍ BREMER,RUDY ELEODORO MAX XOL,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0072-43,16-01-0928,ALTA VERAPAZ,COBAN,EORM,ALDEA SAN PABLO XUCANEB,48898188,SANDRA JEANETTE GARCÍA SÁNCHEZ,MARGARITA FLORICELDA HIDALGO CHO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0073-43,,ALTA VERAPAZ,COBAN,EORM,CASERIO SAN LUIS PLAYA GRANDE,,,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
