0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
15-01-0048-45,15-01-0890,BAJA VERAPAZ,SALAMA,INSTITUTO NACIONAL DE EDUCACION BASICA CON ORIENTACION OCUPACIONAL,5A. AVE. 4-74 ZONA 1 BARRIO EL CENTRO,79400981,IRIS QUETZALI ORDOÑEZ TURCIOS,BILLY ESTUARDO ZULETA SAAVEDRA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0049-45,15-01-0890,BAJA VERAPAZ,SALAMA,IEBC 'LAS PIEDRECITAS',"DIAGONAL 4, 12-45 ZONA 5",79545080,IRIS QUETZALI ORDOÑEZ TURCIOS,WILLIAM SAMAYOA MOYA,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0050-45,15-01-0890,BAJA VERAPAZ,SALAMA,INEB ADS. A ESCUELA NORMAL RURAL NO. 4 DR. ELIZARDO URIZAR LEAL,13 AVE. 7-41 ZONA 2 BARRIO HACIENDA DE LA VIRGEN,47412223,IRIS QUETZALI ORDOÑEZ TURCIOS,BENJAMIN SOTO FRANCO,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0051-45,15-01-0890,BAJA VERAPAZ,SALAMA,COLEGIO PARTICULAR MIXTO TEZULUTLAN,"DIAGONAL 4, 1-24 ZONA 2",79400182,IRIS QUETZALI ORDOÑEZ TURCIOS,ELIA NÍVEA LÓPEZ GARCÍA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0052-45,15-001,BAJA VERAPAZ,SALAMA,LICEO MIXTO 'SAN MATEO',9A. AVENIDA 6-67 ZONA 1,79401926,IRIS QUETZALÍ ORDOÑEZ TURCIOS,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0083-45,15-01-0895,BAJA VERAPAZ,SALAMA,INEB DE TELESECUNDARIA,ALDEA CHIVAC,50427694,NELSON JOEL HERNANDEZ HERNANDEZ,ELIDIA BETZABE CUELLAR MILIAN,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0084-45,15-026,BAJA VERAPAZ,SALAMA,INEB DE TELESECUNDARIA,ALDEA NIÑO PERDIDO,41524557,ELIECER ARIEL ISMALEJ MORALES,SANDRA LUCRECIA MENDOZA TOJ,BASICO,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0085-45,15-01-0890,BAJA VERAPAZ,SALAMA,INEB DE TELESECUNDARIA,ALDEA TEMPISQUE,47346306,IRIS QUETZALI ORDOÑEZ TURCIOS,VICTORINA GONZÁLEZ IXPANCÓC,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0086-45,15-01-0895,BAJA VERAPAZ,SALAMA,INEB,BARRIO AGUA CALIENTE,41092930,NELSON JOEL HERNANDEZ HERNANDEZ,ALBIN ADOLFO ESTRADA VALDÉZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0100-45,15-01-0895,BAJA VERAPAZ,SALAMA,CENTRO EDUCATIVO VERAPAZ DEL SUR,1A. CALLE 1-105 ZONA 3,79400550,NELSON JOEL HERNANDEZ HERNANDEZ,MARIA PATRICIA ARRIOLA FERNÁNDEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0101-45,15-01-0890,BAJA VERAPAZ,SALAMA,COLEGIO PARTICULAR MIXTO DE INFANTES EMANUEL,"5A. AVENIDA 6-31, BARRIO AGUA CALIENTE, ZONA 1",79540849,IRIS QUETZALI ORDOÑEZ TURCIOS,MARÍA CONCEPCIÓN MORALES ENRÍQUEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0103-45,15-01-0890,BAJA VERAPAZ,SALAMA,INEB DE TELESECUNDARIA,ALDEA SANTA INES CHIVAC,48891371,IRIS QUETZALI ORDOÑEZ TURCIOS,MELVIN GARCÍA SOTO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0104-45,15-01-0895,BAJA VERAPAZ,SALAMA,INEB DE TELESECUNDARIA,ALDEA SAN ANTONIO CHIVAC,31382394,NELSON JOEL HERNANDEZ HERNANDEZ,JOSÉ ALEJANDRO CHÓN GARCÍA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0105-45,15-01-0895,BAJA VERAPAZ,SALAMA,INEB DE TELESECUNDARIA,ALDEA LAS ANONAS,51171779,NELSON JOEL HERNANDEZ HERNANDEZ,NELSON ARIEL CHÉ ENRÍQUEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0106-45,15-01-0895,BAJA VERAPAZ,SALAMA,INEB DE TELESECUNDARIA,ALDEA EL TUNAL,37672152,NELSON JOEL HERNANDEZ HERNANDEZ,ADA DESSIRE JUAREZ BURGOS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
