0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-01-0001-42,04-01-0220,CHIMALTENANGO,CHIMALTENANGO,LICEO NUEVA GENERACIÓN,1RA. AV. 4-52 ZONA 4,55808231,KARLA YADIRA PÉREZ SALAZAR,LESLIE IVETTE SÁNCHEZ VÁSQUEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0004-42,04-01-0215,CHIMALTENANGO,CHIMALTENANGO,EODP RAMONA GIL,"1RA. AVENIDA 1-36, ZONA 4",34042732,MARÍA ROSALBA OVALLE CARCUS DE MAXIÁ,OLIMPIA AZUCENA CAR CAMEY,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0005-42,04-001,CHIMALTENANGO,CHIMALTENANGO,LICEO CHIMALTECO 'ALICIA GONZALEZ GIRON',5A. AVENIDA 1-82 ZONA 4,79453597,ABIMAEL ACUTA ABAJ,WALTER XICAY CHOPOX,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0006-42,04-020,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO EVANGÉLICO AMÉRICA LATINA,6A. AVENIDA 3-48 ZONA 5,78391447,MARILENA HERNÁNDEZ CABRERA,AXEL EDUARDO ESTRADA CHÁVEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0007-42,04-002,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO PARROQUIAL MONSEÑOR 'ANGELICO MELOTTO',KM. 56.5 CARRETERA PANAMERICANA ALDEA BUENA VISTA,78394573,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,-,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0008-42,,CHIMALTENANGO,CHIMALTENANGO,EPDP ANEXA A COLEGIO 'SANTA ANA',2A. CALLE 4-50 ZONA 4,78391533,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0009-42,04-001,CHIMALTENANGO,CHIMALTENANGO,COLEGIO EVANGELICO MIXTO AMERICA,6A. AV. 2-17 ZONA 4,78391123,ABIMAEL ACUTA ABAJ,JAVIER SÁNCHEZ,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0010-42,04-01-0215,CHIMALTENANGO,CHIMALTENANGO,EODP,1A. AVENIDA ENTRE 1A. Y 2A. CALLE ZONA 3,55444270,MARÍA ROSALBA OVALLE CARCUS DE MAXIÁ,VANESA CAROLINA COC CÁN,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0020-42,04-01-0216,CHIMALTENANGO,CHIMALTENANGO,EODP ANEXA A EORM DE APLICACION CENTRO AMERICA,1A. AVENIDA 1-251 LA ALAMEDA ZONA 9,42420345,KARLA YADIRA PÉREZ SALAZAR,DÉBORA RAQUEL RIVERA VILLATORO,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0066-42,04-01-0215,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO ""JOSÉ SIMEÓN CAÑAS Y VILLACORTA""",4A. AVENIDA 2-95 ZONA 3,78393574,MARÍA ROSALBA OVALLE CARCUS DE MAXIÁ,IRMA ARACELI MENDOZA ALCÚ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0074-42,04-020,CHIMALTENANGO,CHIMALTENANGO,"LICEO TECNOLOGICO CRISTIANO ""CASTILLO DE LA SABIDURIA""",COLONIA LAS LOLITAS ZONA 4,49902929,MARILENA HERNÁNDEZ CABRERA,GLORIA MARIELA CASTILLO ESTRADA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0076-42,04-01-0212,CHIMALTENANGO,CHIMALTENANGO,EODP,"13 AVENIDA, PASAJE 1-113, CASA ""B"" ALDEA BUENA VISTA, ZONA 8",40665785,EDNA NOHELIA PÉREZ TOJ,VALENTINA JOCABED BUCH CASTRO,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0077-42,04-01-0220,CHIMALTENANGO,CHIMALTENANGO,EODP,"DIAGONAL 5, PASAJE 10-131, CASA ""D"", COLONIA EL ESFUERZO, ZONA 5",54661774,KARLA YADIRA PÉREZ SALAZAR,INGRID CAROLINA MUÑOZ COJÓN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0078-42,04-01-0213,CHIMALTENANGO,CHIMALTENANGO,EODP,ALDEA SANTA ISABEL,41690979,NORMAN EDUARDO PINTO CELIS,BRISEIDA OMERY SAJIC HIGUEROS,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0079-42,04-01-0213,CHIMALTENANGO,CHIMALTENANGO,EODP ALDEA LABOR DE FALLA,ALDEA LABOR DE FALLA,,NORMAN EDUARDO PINTO CELIS,GLENDY YANIRA TUBAC OLLEJ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0080-42,04-01-0214,CHIMALTENANGO,CHIMALTENANGO,EODP,ALDEA SOCOBAL,53639767,MARILENA HERNÁNDEZ CABRERA,CAROL ESTER GUIX ABAC,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0091-42,04-01-0212,CHIMALTENANGO,CHIMALTENANGO,EODP ALDEA BUENA VISTA,ALDEA BUENA VISTA,47363882,EDNA NOHELIA PÉREZ TOJ,MELANIE SHARLYN DE LEÓN TANCHEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0097-42,04-01-0212,CHIMALTENANGO,CHIMALTENANGO,EODP ANEXA A ESCUELA OFICIAL RURAL MIXTA,CASERIO MONTE CRISTO,58421712,EDNA NOHELIA PÉREZ TOJ,EGLA IXMUCANÉ AJSIVINAC CASTRO,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0098-42,04-003,CHIMALTENANGO,CHIMALTENANGO,EODP ANEXA A EORM,ALDEA CIÉNAGA GRANDE,,NORMAN EDUARDO PINTO CELIS,-,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0099-42,04-001,CHIMALTENANGO,CHIMALTENANGO,EODP ANEXA A EORM,ALDEA SAN ANTONIO LAS MINAS,,ABIMAEL ACUTA ABAJ,-,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0100-42,04-002,CHIMALTENANGO,CHIMALTENANGO,EODP ANEXA A EORM,ALDEA TONAJÚ DEL CENTRO,,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,-,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0101-42,04-001,CHIMALTENANGO,CHIMALTENANGO,EODP ANEXA A EORM,"CASERÍO PARUXECHÉ, ALDEA PANEYÁ",,ABIMAEL ACUTA ABAJ,-,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0107-42,04-01-0215,CHIMALTENANGO,CHIMALTENANGO,"EODP ANEXA A EOUM DE EDUCACION ESPECIAL ""CIUDAD DE LOS ESCUDOS""",4A. CALLE 4-09 ZONA 1,56963467,MARÍA ROSALBA OVALLE CARCUS DE MAXIÁ,DULCE MARÍA CHOC LÓPEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0122-42,04-027,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO MIXTO MI ESCUELITA,2 AVENIDA 3-21 ZONA 2,50831742,MARÍA ROSALBA OVALLE CARCUS DE MAXÍA,LIDIA LEONOR LOBOS GONZALES DE ARRIOLA,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0150-42,04-01-0212,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO CRISTIANO ""AGUA DE VIDA""","15 AVENIDA 1-30 LA PEDRERA, ZONA 8",57881264,EDNA NOHELIA PÉREZ TOJ,FLOR DE MARÍA MARTÍNEZ CASTRO,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0158-42,04-01-0217,CHIMALTENANGO,CHIMALTENANGO,"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO NO. 3, C.E.T.A.CH. NO. 3",8A. AVENIDA 3-59 ZONA 2,77741100,JUAN CARLOS CHIQUITÓ CÁN,DORCAS MADAÍ COJOLÓN VÁSQUEZ,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0163-42,04-027,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO KAIROS EDUCARE,3A. CALLE 5-48 ZONA 1,78394316,MARÍA ROSALBA OVALLE CARCUS DE MAXÍA,MIRIAM CRISTINA CANA MENDEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0173-42,04-028,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO CHIMALTECO BILINGÜE,"QUINTAS LOS APOSENTOS II, LOTE 62, ZONA 1",78395449,KARLA YADIRA PÉREZ SALAZAR,JACKELINE PRISCILA MARTÍNEZ MARROQUÍN,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0176-42,04-01-0211,CHIMALTENANGO,CHIMALTENANGO,"CENTRO EDUCATIVO ""CAMINO A LA SABIDURIA""",10A. CALLE 1-80 ZONA 3,78391193,ABIMAEL ACUTA ABAJ,JOSÉ ALFREDO TOL CHUY,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0178-42,04-01-0218,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C.E.T.A.CH. NO. 2),"3A. CALLE 6-125, ZONA 4",78739582,MARIA AMELIA ADRIANA CAMEY GUERRA,BERTHA MARIA QUIROA GARNICA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0191-42,04-01-0216,CHIMALTENANGO,CHIMALTENANGO,COLEGIO CRISTIANO VERBO CHIMALTENANGO,"3A. AVENIDA DE LAS FLORES 7-62 QUINTAS LOS APOSENTOS 1, ZONA 1",78396501,KARLA YADIRA PÉREZ SALAZAR,MARLEN EUNICE TEZAGUIC GONZALEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0201-42,04-01-0214,CHIMALTENANGO,CHIMALTENANGO,"CENTRO EDUCATIVO CRISTIANO ""MI ESPECIAL TESORO""","8A. AVENIDA ""A"" 4B-16, COLONIA QUINTAS LAS VICTORIAS, ZONA 6",56925212,MARILENA HERNÁNDEZ CABRERA,VANESSA KARINA LÓPEZ ALVAREZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0202-42,04-01-0214,CHIMALTENANGO,CHIMALTENANGO,EODP ANEXA A EORM,ALDEA SOCOBAL,51260216,MARILENA HERNÁNDEZ CABRERA,MÉLIDA MIRTALA ESCOBAR CANAHÜÍ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0204-42,04-028,CHIMALTENANGO,CHIMALTENANGO,"CENTRO EDUCATIVO Y DE FORMACIÓN INTEGRAL ""MARÍA MONTESSORI""","9A. CALLE 5-60 ZONA 1, QUINTAS LOS APOSENTOS I",34018828,KARLA YADIRA PÉREZ SALAZAR,ANA ROXANDA RODRIGUEZ CABRERA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0206-42,04-01-0214,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE ENSEÑANZA INTEGRAL SHALOM,"1A. CALLE 6-185, ZONA 1",36954077,MARILENA HERNÁNDEZ CABRERA,ALMA NOHEMI CHOC MUTZUTZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0209-42,04-01-0211,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO ADONAÍ,3A.. AVENIDA 3-65 ZONA 3,77931910,ABIMAEL ACUTA ABAJ,SARA SUCETH ESQUIVEL MARROQUIN,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0215-42,04-01-0211,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO ""ROBINSON""",1A. CALLE 7-206 ZONA 3,78404913,ABIMAEL ACUTA ABAJ,ZUCELLY ANGEANETTE SALAZAR ANLEU,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0218-42,04-01-0218,CHIMALTENANGO,CHIMALTENANGO,COLEGIO CRISTIANO CATÓLICO JUAN PABLO II,"2DA. CALLE 3A-91 ZONA 7, ALDEA BUENA VISTA",49473374,MARIA AMELIA ADRIANA CAMEY GUERRA,JUAN JOSÉ SAPUT MARTINEZ,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0222-42,04-01-0220,CHIMALTENANGO,CHIMALTENANGO,EODP,"DIAGONAL 5, 11-21 LA ALAMEDA ZONA 5",47250509,KARLA YADIRA PÉREZ SALAZAR,AMSY MAYDÉ CÁN CÁN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0223-42,04-01-0213,CHIMALTENANGO,CHIMALTENANGO,EODP,COMUNIDAD AGRARIA LABOR DE FALLA,78397420,NORMAN EDUARDO PINTO CELIS,KELSY GISSELLE ESTRADA IGUARDIA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0224-42,04-01-0211,CHIMALTENANGO,CHIMALTENANGO,EODP,8A. AVENIDA FINAL COLONIA SAN JOSÉ LAS FLORES CASA NO. 7-02 ZONA 3,48271300,ABIMAEL ACUTA ABAJ,MELISSA LORENA MACHÁN GARCÍA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0225-42,04-01-0215,CHIMALTENANGO,CHIMALTENANGO,EODP,1A. AVENIDA 2DO. CALLEJÓN CASA NO. 0 ZONA 2,31190378,MARÍA ROSALBA OVALLE CARCUS DE MAXIÁ,BRENDA AZUCENA COROY MACHAN,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0226-42,04-01-0212,CHIMALTENANGO,CHIMALTENANGO,EODP,ALDEA BUENA VISTA,33331174,EDNA NOHELIA PÉREZ TOJ,SARA RUBÍ ORDOÑEZ CURRUCHICH,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0227-42,04-003,CHIMALTENANGO,CHIMALTENANGO,EODP,ALDEA BOLA DE ORO,78397420,NORMAN EDUARDO PINTO CELIS,EVELYN YOLANDA CURRUCHICH QUEX,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0228-42,04-01-0212,CHIMALTENANGO,CHIMALTENANGO,EODP,ALDEA HIERBA BUENA,31298920,EDNA NOHELIA PÉREZ TOJ,SANDRA YANETH ACUTA TEXAJ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0233-42,04-003,CHIMALTENANGO,CHIMALTENANGO,COLEGIO EVANGÉLICO BILINGÜE ESCORBÁN,"1A. CALLE 14-274 ZONA 6, ALDEA SANTA ISABEL",46001085,NORMAN EDUARDO PINTO CELIS,CARLOS HUMBERTO CABRERA OVALLE,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
