0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-01-0001-43,04-01-0220,CHIMALTENANGO,CHIMALTENANGO,LICEO NUEVA GENERACIÓN,1RA. AV. 4-52 ZONA 4,55808231,KARLA YADIRA PÉREZ SALAZAR,LESLIE IVETTE SÁNCHEZ VÁSQUEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0011-43,04-01-0213,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA CERRO ALTO,57527774,NORMAN EDUARDO PINTO CELIS,MARTIN GARCÍA ALVAREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0012-43,04-01-0212,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA SAN MARCOS PACOC,36018787,EDNA NOHELIA PÉREZ TOJ,MARVIN ABRAHAM GALINDO ESTRADA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0013-43,04-01-0212,CHIMALTENANGO,CHIMALTENANGO,EORM,"KM. 57, CARRETERA INTERAMERICANA ALDEA BUENA VISTA",41172691,EDNA NOHELIA PÉREZ TOJ,CARMELINA GÓMEZ BOC,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0014-43,04-01-0212,CHIMALTENANGO,CHIMALTENANGO,EORM EUGENIO MARÍA DE HOSTOS,5A. CALLE 2-44 COLONIA SAN MARCOS PUERTO RICO ZONA 8,59617239,EDNA NOHELIA PÉREZ TOJ,ALFREDO SAPUT SINAJ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0015-43,04-01-0212,CHIMALTENANGO,CHIMALTENANGO,EORM,KM. 60 CARRETERA INTERAMERICANA ALDEA HIERBA BUENA,47705022,EDNA NOHELIA PÉREZ TOJ,DANIEL RICARDO MONTUFAR MARTINEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0016-43,04-01-0213,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA SAN JACINTO,52513511,NORMAN EDUARDO PINTO CELIS,SOLEDAD MARINA SIRIN AVILA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0017-43,04-01-0218,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA TONAJUYU DEL CENTRO,,MARIA AMELIA ADRIANA CAMEY GUERRA,MARÍA INES GUERRA,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0018-43,04-01-0213,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA CIENAGA GRANDE,41952830,NORMAN EDUARDO PINTO CELIS,MARIA ROSELIA ORDÓN AGUIN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0019-43,04-01-0213,CHIMALTENANGO,CHIMALTENANGO,EORM,CASERIO EL ROSARIO ALDEA CIENAGA GRANDE,,NORMAN EDUARDO PINTO CELIS,ENRIQUE JOLÓN ROSALES,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0020-43,04-01-0216,CHIMALTENANGO,CHIMALTENANGO,EORM DE APLICACION CENTRO AMERICA,"6A. AVENIDA 14-376, ZONA 1, LA ALAMEDA, SECTOR ""A""",78391337,KARLA YADIRA PÉREZ SALAZAR,RONY WALDEMAR ROCA RUÍZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0021-43,04-01-0213,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA SANTA ISABEL,42024688,NORMAN EDUARDO PINTO CELIS,MARVIN OSEAS AJQUEJAY MUTZUTZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0022-43,26-039,CHIMALTENANGO,CHIMALTENANGO,EDAC -PRONADE-,ALDEA TONAJUYU BUENOS AIRES,,PROYECTO SEPREDI,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0023-43,04-01-0212,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA MONTE DE LOS OLIVOS,35667201,EDNA NOHELIA PÉREZ TOJ,HEBER ALEXANDER CHALÍ SON,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0024-43,04-01-0213,CHIMALTENANGO,CHIMALTENANGO,EORM,"21A. CALLE 3-141 EL DURAZNO, ZONA 6",41506821,NORMAN EDUARDO PINTO CELIS,MARIO OSWALDO AJSIVINAC,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0025-43,04-01-0213,CHIMALTENANGO,CHIMALTENANGO,EORM,ALDEA BOLA DE ORO,41342911,NORMAN EDUARDO PINTO CELIS,ANA MARÍA PORRAS FIGUEROA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0026-43,04-01-0214,CHIMALTENANGO,CHIMALTENANGO,EOUM CANTON EL CALVARIO,8A. CALLE 4-55 ZONA 1 QUINTAS LOS APOSENTOS I,78392821,MARILENA HERNÁNDEZ CABRERA,ILEANA PATRICIA MIJANGOS LÓPEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0027-43,04-01-0219,CHIMALTENANGO,CHIMALTENANGO,EOUM JOSE JOAQUIN PARDO GALLARDO,7A. AVENIDA 3-15 ZONA 2,78393580,MILDRED JEANNTTE ABAJ MAZATE,EDITH GADIEL NAVAS GARCIA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0028-43,04-01-0211,CHIMALTENANGO,CHIMALTENANGO,EOUM TIPO FEDERACIÓN MIGUEL HIDALGO Y COSTILLA,1A. CALLE 9-120 ZONA 3,78392235,ABIMAEL ACUTA ABAJ,ESTHIVEN ESTUARDO ESQUIT GRANADOS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0029-43,04-01-0211,CHIMALTENANGO,CHIMALTENANGO,EOUM TIPO FEDERACION 'MIGUEL HIDALGO Y COSTILLA',1A. CALLE 10-57 ZONA 3,46858455,ABIMAEL ACUTA ABAJ,MAYRA ESTHER ROSALES SALAZAR,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0030-43,04-01-0215,CHIMALTENANGO,CHIMALTENANGO,EOUM 'CANTON LA CRUZ',3A. AVENIDA Y 4A. CALLE ESQUINA ZONA 2,58909535,MARÍA ROSALBA OVALLE CARCUS DE MAXIÁ,MARCOS ANTONIO YOOL SIS,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0031-43,04-020,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO EVANGÉLICO AMÉRICA LATINA,6A. AVENIDA 3-48 ZONA 5,78391447,MARILENA HERNÁNDEZ CABRERA,AXEL EDUARDO ESTRADA CHÁVEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0032-43,04-001,CHIMALTENANGO,CHIMALTENANGO,COLEGIO MIXTO 'SANTA ANA',2A. CALLE 5-40 ZONA 4,78391533,ABIMAEL ACUTA ABAJ,-,PRIMARIA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0033-43,04-01-0212,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO ""MARÍA INMACULADA""","DIAGONAL 1, 7-131 ZONA 8, ALDEA BUENA VISTA",78393313,EDNA NOHELIA PÉREZ TOJ,MARÍA CARMEN MARTÍNEZ OLARTE,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0034-43,04-001,CHIMALTENANGO,CHIMALTENANGO,LICEO CHIMALTECO 'ALICIA GONZALEZ GIRON',5A. AVENIDA 1-82 ZONA 4,79453597,ABIMAEL ACUTA ABAJ,WALTER XICAY CHOPOX,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0035-43,04-01-0215,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO ""JOSÉ SIMEÓN CAÑAS Y VILLACORTA""",4A. AVENIDA 2-95 ZONA 3,78393574,MARÍA ROSALBA OVALLE CARCUS DE MAXIÁ,IRMA ARACELI MENDOZA ALCÚ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
