0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
02-01-0026-45,02-01-0175,EL PROGRESO,GUASTATOYA,INEB CON ORIENTACION OCUPACIONAL,BARRIO EL PORVENIR,79451039,CARLOTA EUGENIA ALBUREZ AGUILAR,GLORIA ELIDA LÓPEZ MERLOS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0030-45,02-01-0174,EL PROGRESO,GUASTATOYA,INEB,BARRIO EL PORVENIR,42866203,CARLA MARLENY ALDANA RODAS,ASTRID GRAZIELLA TECÚ GUEVARA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0032-45,02-010,EL PROGRESO,GUASTATOYA,INEB DE TELESECUNDARIA,ALDEA SANTA LUCIA,,MIRNA YANETT FERRERA CASTILLO,---,BASICO,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0035-45,02-004,EL PROGRESO,GUASTATOYA,INEB DE TELESECUNDARIA CENTRO PREVENTIVO,ALDEA QUEBREADA GRANDE,,EDGAR RUDY MORALES GODINEZ,---,BASICO,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0036-45,02-01-0175,EL PROGRESO,GUASTATOYA,INEB DE TELESECUNDARIA,ALDEA EL OBRAJE,33009999,CARLOTA EUGENIA ALBUREZ AGUILAR,JULIA ESTELA BELTETÓN LÓPEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0039-45,02-014,EL PROGRESO,GUASTATOYA,INSTITUTO DE EDUCACION MEDIA POR MADUREZ,"COLONIA NUEVA VIDA , BARRIO EL PORVENIR",79451797,CARLA MARLENY ALDANA RODAS,NORA REBECA IBAÑEZ MORÁN,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0043-45,02-004,EL PROGRESO,GUASTATOYA,INSTITUTO OFICIAL DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ CAMINO DEL SABER,BARRIO LAS JOYAS,56962830,EDGAR RUDY MORALES GODINEZ,MARIA ELENA LEMUS MURALLES DE AREVALO,BASICO,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0047-45,02-01-0175,EL PROGRESO,GUASTATOYA,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- MUNICIPALIDAD DE GUASTATOYA,COLONIA LINDA VISTA,58250827,CARLOTA EUGENIA ALBUREZ AGUILAR,SANDRA PAOLA MORALES GARCÍA,BASICO,MUNICIPAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0048-45,02-01-0174,EL PROGRESO,GUASTATOYA,INSTITUTO DE EDUCACIÓN MEDIA POR MADUREZ,BARRIO EL PORVENIR GUASTATOYA,79451797,CARLA MARLENY ALDANA RODAS,MARCO AURELIO MAZARIEGOS LEMUS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0050-45,02-014,EL PROGRESO,GUASTATOYA,COORDINACIÓN DEPARTAMENTAL DE TELESECUNDARIA DE EL PROGRESO,BARRIO LAS JOYAS CEMENTERIO VIEJO,79637575,CARLA MARLENY ALDANA RODAS,MYNOR FRANCSICO GARCIA,BASICO,OFICIAL,URBANA,TEMPORAL NOMBRAMIENTO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0053-45,02-01-0174,EL PROGRESO,GUASTATOYA,COLEGIO EVANGELICO TORRE FUERTE,"COLONIA HICHOS, BARRIO EL PORVENIR",79451993,CARLA MARLENY ALDANA RODAS,IRIS ORFELÍ LOAIZA MOSCOSO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0055-45,02-014,EL PROGRESO,GUASTATOYA,COLEGIO HIGA,COLONIA HICHOS,52942795,CARLA MARLENY ALDANA RODAS,ERIKA JULISA OLIVA DUARTE,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0056-45,02-014,EL PROGRESO,GUASTATOYA,COLEGIO HIGA,COLONIA HICHOS,42008750,CARLA MARLENY ALDANA RODAS,ERIKA JULISA OLIVA DUARTE,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0060-45,02-01-0175,EL PROGRESO,GUASTATOYA,COLEGIO EDUCARE,BARRIO EL PORVENIR,77250011,CARLOTA EUGENIA ALBUREZ AGUILAR,ANGÉLICA PAIZ FLORES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0065-45,02-01-0174,EL PROGRESO,GUASTATOYA,COLEGIO MIXTO INTEGRAL EL PROGRESO,"COLONIA HICHOS, BARRIO EL PORVENIR",47406758,CARLA MARLENY ALDANA RODAS,DELFINA MARISOL PAZOS RAMOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0067-45,02-01-0174,EL PROGRESO,GUASTATOYA,COLEGIO MIXTO INTEGRAL EL PROGRESO,COLONIA HICHOS BARRIO EL PORVENIR GUASTATOYA,47406758,CARLA MARLENY ALDANA RODAS,DELFINA MARISOL PAZOS RAMOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0070-45,02-021,EL PROGRESO,GUASTATOYA,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL MODALIDADES FLEXIBLES,BARRIO LAS JOYAS CEMENTERIO VIEJO,7963757,MARTA ELIDA CARIAS HERNANDEZ DE GARCIA,HELLEN CELESTE MARROQUÍN CORADO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO
02-01-0072-45,02-01-0174,EL PROGRESO,GUASTATOYA,INSTITUTO DE EDUCACION MEDIA POR MADUREZ,GUASTATOYA EL PROGRESO,42353730,CARLA MARLENY ALDANA RODAS,NORA REBECA IBAÑEZ MORÁN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),EL PROGRESO
02-01-0074-45,02-01-0174,EL PROGRESO,GUASTATOYA,COLEGIO MIXTO INTEGRAL EL PROGRESO,"COLONIA HICHOS, BARRIO EL PORVENIR GUASTATOYA EL PROGRESO",47406758,CARLA MARLENY ALDANA RODAS,DELFINA MARISOL PAZOS RAMOS,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0077-45,02-01-0174,EL PROGRESO,GUASTATOYA,INEB INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA,ALDEA SAN RAFAEL,30069157,CARLA MARLENY ALDANA RODAS,,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0230-45,,EL PROGRESO,GUASTATOYA,IPMB 'CENTRO EDUCATIVO GUAYACAN',BARRIO EL GOLFO,,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),EL PROGRESO
02-01-0248-45,02-01-0175,EL PROGRESO,GUASTATOYA,INEB EXPERIMENTAL CON ORIENTACION OCUPACIONAL,BARRIO EL PORVENIR,79450944,CARLOTA EUGENIA ALBUREZ AGUILAR,AMÉRICA NAVEYRA RODAS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
