0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
02-01-0001-42,02-01-0175,EL PROGRESO,GUASTATOYA,EODP GABRIELA MISTRAL,BARRIO LA DEMOCRACIA,56203495,CARLOTA EUGENIA ALBUREZ AGUILAR,DÉBORA LILIANA MORALES MARROQUÍN,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0002-42,02-01-0175,EL PROGRESO,GUASTATOYA,EODP,BARRIO EL GOLFO,79451335,CARLOTA EUGENIA ALBUREZ AGUILAR,YERALDINI ZARILÚ ANTÓN GARCÍA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0003-42,,EL PROGRESO,GUASTATOYA,EPDP ANEXA A 'CENTRO EDUCATIVO GUAYACAN',BARRIO EL GOLFO,,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0005-42,02-01-0175,EL PROGRESO,GUASTATOYA,EODP ANEXA A EOUM,COLONIA NUEVA VIDA,56252333,CARLOTA EUGENIA ALBUREZ AGUILAR,ANA VICENTA ALDANA SÁNCHEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0009-42,02-01-0175,EL PROGRESO,GUASTATOYA,EODP SANTA LUCIA,ALDEA SANTA LUCIA,47169748,CARLOTA EUGENIA ALBUREZ AGUILAR,GEDER DANIRA SÁNCHEZ MARROQUIN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0029-42,02-01-0174,EL PROGRESO,GUASTATOYA,EODP ANEXA A EORM,ALDEA PIEDRA PARADA,50111137,CARLA MARLENY ALDANA RODAS,CARLA BEATRIZ SOSA BONILLA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0034-42,02-01-0175,EL PROGRESO,GUASTATOYA,EODP ANEXA A EORM,ALDEA EL OBRAJE,56062172,CARLOTA EUGENIA ALBUREZ AGUILAR,LORENA SALAZAR GONZÁLEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0037-42,02-01-0175,EL PROGRESO,GUASTATOYA,EODP ANEXA A EORM,ALDEA TIERRA BLANCA,41883621,CARLOTA EUGENIA ALBUREZ AGUILAR,DANNY FLORIDALMA SÁNCHEZ JIMÉNEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0051-42,02-01-0174,EL PROGRESO,GUASTATOYA,COLEGIO DE APLICACIONES INTEGRADAS GUASTATOYA,BARRIO EL PORVENIR,79450840,CARLA MARLENY ALDANA RODAS,BRENDA AZUCENA VALIENTE ARREAGA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0063-42,02-01-0174,EL PROGRESO,GUASTATOYA,COLEGIO MIXTO INTEGRAL EL PROGRESO,"COLONIA HICHOS, BARRIO EL PORVENIR 02",47406758,CARLA MARLENY ALDANA RODAS,DELFINA MARISOL PAZOS RAMOS,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0227-42,02-01-0175,EL PROGRESO,GUASTATOYA,EODP ANEXA A EORM,ALDEA CASAS VIEJAS,42604141,CARLOTA EUGENIA ALBUREZ AGUILAR,JOBITTZA MAYARÍ COROY CASTAÑEDA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0228-42,,EL PROGRESO,GUASTATOYA,EPDP COLEGIO 'EL PORVENIR' ANEXA A EPRM,ALDEA SANTA LUCIA,,,,PARVULOS,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0229-42,02-01-0175,EL PROGRESO,GUASTATOYA,COLEGIO DE CIENCIAS COMERCIALES EL PROGRESO,BARRIO EL PORVENIR,79451265,CARLOTA EUGENIA ALBUREZ AGUILAR,ALMA NOHELIA ALDANA FLORES,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0412-42,02-01-0175,EL PROGRESO,GUASTATOYA,CEIN -PAIN-,ALDEA SANTA LUCIA,77223753,CARLOTA EUGENIA ALBUREZ AGUILAR,MIRIAM SARAÍ MORALES GARCÍA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0420-42,02-01-0175,EL PROGRESO,GUASTATOYA,COLEGIO CATOLICO PARTICULAR MIXTO PADRE GABRIEL PEÑATE RODRIGUEZ,BARRIO EL CALVARIO,79451749,CARLOTA EUGENIA ALBUREZ AGUILAR,ANDREA DULCEMARÍA ALEMÁN CARÍAS,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0436-42,,EL PROGRESO,GUASTATOYA,COLEGIO 'CATOLICO PARTICULAR MIXTO',BARRIO LAS JOYAS,,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0483-42,02-01-0174,EL PROGRESO,GUASTATOYA,CEIN -PAIN-,ALDEA SANTA RITA,42182124,CARLA MARLENY ALDANA RODAS,EYMI YESENIA DE PAZ SALGUERO,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0514-42,02-01-0175,EL PROGRESO,GUASTATOYA,EODP ANEXA A EORM,ALDEA CHILZAPOTE,,CARLOTA EUGENIA ALBUREZ AGUILAR,GLEIDY LISBETH CATALÁN CÁCERES,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0515-42,02-01-0174,EL PROGRESO,GUASTATOYA,EODP ANEXA A EORM,"BARRIO SAN JUAN, ALDEA SANTA RITA",,CARLA MARLENY ALDANA RODAS,ASTRID LIGIA DUARTE CALLEJAS,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0516-42,02-01-0175,EL PROGRESO,GUASTATOYA,EODP ANEXA A EORM,ALDEA SUBINAL,36823289,CARLOTA EUGENIA ALBUREZ AGUILAR,ANGELA MARIANA LOAIZA BELTETÓN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
