0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
13-01-0062-45,13-01-0708,HUEHUETENANGO,HUEHUETENANGO,INEB ADSCRITO AL INSTITUTO NORMAL MIXTO ALEJANDRO CORDOVA,"6A. AVENIDA ""A"" 10-59, ZONA 1",77690082,CLARA ARMIDA MORALES CASTILLO,OTTO RENÉ GUTIÉRREZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0063-45,13-050,HUEHUETENANGO,HUEHUETENANGO,COLEGIO MIXTO ASTURIAS,2A CALLE 7-32 INTERIOR ZONA 1,77649529,REYNALDO RECINOS CASTILLO,ANABELA CLARISA MÉNDEZ ESCOBEDO,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0064-45,13-01-0708,HUEHUETENANGO,HUEHUETENANGO,INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACIÓN BÁSICA CON ORIENTACIÓN OCUPACIONAL,CANTON SAN JOSE ZONA 5,77681904,CLARA ARMIDA MORALES CASTILLO,ROSA MARIA ACEVEDO HERRERA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0067-45,13-004,HUEHUETENANGO,HUEHUETENANGO,COLEGIO MIXTO 'ASTURIAS',2A CALLE 7-32 INTERIOR ZONA 1,77642242,CLARA ARMIDA MORALES CASTILLO,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0068-45,13-01-0708,HUEHUETENANGO,HUEHUETENANGO,COLEGIO DE LA SALLE,10A AVE. DE LA SALLE 10-00 ZONA 1,54142119,CLARA ARMIDA MORALES CASTILLO,OSCAR FERNANDO MARTÍNEZ TELLO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0069-45,13-01-0707,HUEHUETENANGO,HUEHUETENANGO,COLEGIO EVANGELICO MIXTO LA AURORA,5A CALLE 5-47 ZONA 1,77641328,HUGO GONZÁLEZ SALVADOR,DAILY RUSBÍ GONZÁLEZ RAMOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0070-45,13-050,HUEHUETENANGO,HUEHUETENANGO,COLEGIO 'DE LA SALLE',10A AVE. DE LA SALLE 10-00 ZONA 1,77641809,REYNALDO RECINOS CASTILLO,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0071-45,,HUEHUETENANGO,HUEHUETENANGO,ESCUELA PARTICULAR MIXTA NOCTURNA DE CIENCIAS COMERCIALES,5A AVE. 7-112 ZONA 1,,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0072-45,13-01-0713,HUEHUETENANGO,HUEHUETENANGO,LICEO Y ACADEMIA ADVENTISTA 'DIEGUEZ OLAVERRI',EL TERRERO ZONA 4,79345408,LIGIA MARÍA LÓPEZ HERRERA,ADELA MARÍA CALDERON CANO,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
