0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
13-01-0001-42,13-01-0708,HUEHUETENANGO,HUEHUETENANGO,EODP ANEXA A ESCUELA TIPO FEDERACION 'CARLOS A. CALDERON T.',CANTON SAN JOSE,77690695,CLARA ARMIDA MORALES CASTILLO,JORGE LUIS HERNÁNDEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0002-42,13-01-0709,HUEHUETENANGO,HUEHUETENANGO,"EODP ANEXA A EOUM ""EL CALVARIO""","2A AV. ""A"" 4-53 ZONA 3 EL CALVARIO",47188907,MIRZA YOJANA LÓPEZ BRIONES,SANDRA LUCRECIA CANO JORGE,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0003-42,13-01-0708,HUEHUETENANGO,HUEHUETENANGO,EODP ANEXA AL CENTRO DE BIENESTAR SOCIAL,"7A. CALLE A 12-50, ZONA 5",32373435,CLARA ARMIDA MORALES CASTILLO,ANGÉLICA ROXANA GUTIÉRREZ SAMAYOA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0004-42,13-01-0707,HUEHUETENANGO,HUEHUETENANGO,"EODP ""EDELMIRA MAURICIO""",3A. CALLE 3-39 ZONA 1,49963351,HUGO GONZÁLEZ SALVADOR,BRENDA EUNICE HERRERA AFRE,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0005-42,13-01-0707,HUEHUETENANGO,HUEHUETENANGO,COLEGIO PRIVADO EVANGELICO MIXTO 'LA AURORA',5A CALLE 5-47 ZONA 1,30180936,HUGO GONZÁLEZ SALVADOR,OVIDIA YOLANDA SOTO VILLATORO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0032-42,13-01-0710,HUEHUETENANGO,HUEHUETENANGO,EODP ANEXA A EORM,ALDEA SAN LORENZO,59199654,INGRID JANET CHÁVEZ DE DE LEÓN,EDYLSON SALVADOR MÉNDEZ GARCÍA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0040-42,13-01-0712,HUEHUETENANGO,HUEHUETENANGO,EODP ANEXA A EORM 'ADRIAN RECINOS',ALDEA CHIMUSINIQUE ZONA 12,77681930,ANA PATRICIA HERNÁNDEZ RIVAS,ILCE LUCRECIA MARTÍNEZ GONZÁLEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0041-42,13-01-0711,HUEHUETENANGO,HUEHUETENANGO,"EODP ANEXA A EORM ""MIGUEL SANTIAGO SAJCHE RIOS""",ALDEA CHINACA,44817246,REYNALDO RECINOS CASTILLO,ANGELA MARIA MOLINA ARANA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0076-42,13-01-0712,HUEHUETENANGO,HUEHUETENANGO,EODP ANEXA A EORM,CASERIO CHILOJA ALDEA SAN LORENZO,,ANA PATRICIA HERNÁNDEZ RIVAS,BYRON JOSUÉ ALVA MÉRIDA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
