0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
09-01-0125-45,09-005,QUETZALTENANGO,QUETZALTENANGO,"INSTITUTO NACIONAL ""JACOBO ARBENZ GUZMÁN""",4TA. CALLE 25-20 ZONA 3,41514439,JUAN CARLOS RONQUILLO DE LEON,JUAN CARLOS HERNÁNDEZ RÍOS,BASICO,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0126-45,09-01-0428,QUETZALTENANGO,QUETZALTENANGO,"INEB ESCUELA NACIONAL DE CIENCIAS COMERCIALES DE OCCIDENTE SECCIÓN NOCTURNA ""ALBERTO CARDENAS RODAS""",5A CALLE 12-60 ZONA 3,77635504,JUAN CARLOS RONQUILLO,MARÍA JOSEFINA MENDOZA ESCOBAR,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0127-45,09-01-0429,QUETZALTENANGO,QUETZALTENANGO,"INEEB ""GABRIEL ARRIOLA PORRES""",2A CALLE 14-51 ZONA 3,42156187,MARÍA LETICIA PIRIR AVILA DE DE LEÓN,KARIN MILAGRO MORALES MORALES,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0128-45,09-01-0433,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO DE EDUCACION BASICA CON ORIENTACION INDUSTRIAL,0 CALLE 36 AVENIDA ZONA 8,77677742,INGRID MIRTALA LÓPEZ GALINDO DE ARANA,LILIAN NOEMÍ BARRIOS BARRIOS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0129-45,09-01-0476,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACION BASICA DR. WERNER OVALLE LOPEZ,4A CALLE Y 25 AVE. ZONA 3,77674515,FRANCISCO MIGUEL TIRADO HUINAC,FREDY GAUDENCIO ALVARADO,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0130-45,09-01-0429,QUETZALTENANGO,QUETZALTENANGO,INEB PARA SEÑORITAS,14 AVE. A-20 ZONA 1,77612658,MARÍA LETICIA PIRIR AVILA DE DE LEÓN,JULIO CÉSAR SOLÍS ESCOBAR,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0131-45,09-01-0426,QUETZALTENANGO,QUETZALTENANGO,INEB ADS. AL INSTITUTO NORMAL P/VARONES DE OCCIDENTE,CALLE RODOLFO ROBLES 12-20 ZONA 3,42295145,PEDRO GERÓNIMO SARAT CHAJ,JUAN PABLO IXCOT XICARÁ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0132-45,09-01-0428,QUETZALTENANGO,QUETZALTENANGO,INEB ADS.AL INSTITUTO NORMAL PARA SEÑORITAS DE OCCIDENTE (I.N.S.O.),14 AVE. A 0-36 ZONA 1,77669946,JUAN CARLOS RONQUILLO,MIRZA JUDITH LÓPEZ GUILLÉN,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0133-45,09-01-0426,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO MIXTO EVANGÉLICO ""BETHEL""",14 AVENIDA 0-69 ZONA 1,77631342,PEDRO GERÓNIMO SARAT CHAJ,EDGAR MAURICIO SIGÜENZA CALDERON,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0134-45,09-01-0427,QUETZALTENANGO,QUETZALTENANGO,IPMB 'AMERICANO',AVENIDA JESUS CASTILLO A -74 ZONA 1,77630819,DINA RUBÍ GONZÁLEZ DE LEÓN,LILIAM YOLANDA PEREYRA CASTILLO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0135-45,09-036,QUETZALTENANGO,QUETZALTENANGO,IPMB 'LICEO MODERNO',7A AVE. 6-45 ZONA 1,77614475,OBDULIO ROLANDO RUIZ ALVA,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0136-45,09-01-0426,QUETZALTENANGO,QUETZALTENANGO,"C0LEGIO MIXTO ""TERESA MARTÍN""",9A CALLE 10-09 ZONA 1,36479650,PEDRO GERÓNIMO SARAT CHAJ,MARILIN ELIZABETH GARCÍA LOCÓN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0137-45,09-006,QUETZALTENANGO,QUETZALTENANGO,IPMB COLEGIO 'BETHANIA',CALLE C 0-22 ZONA 1,77630164,PEDRO GERÓNIMO SARAT CHAJ,FERNANDO DAVID RIVERA ESPAÑA,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0138-45,09-007,QUETZALTENANGO,QUETZALTENANGO,INST. PRIVADO MIXTO DE EDUC. BÁSICA COLEGIO 'CORAZON DE JESUS',15 AV 0-36 ZONA 1,52194780,MIGDALIA AZUCENA LOARCA CRÚZ,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0139-45,09-01-0430,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO DE ESTUDIOS AVANZADOS DE OCCIDENTE,AV JESUS CASTILLO 1-81 ZONA 3,77611270,WILSON RANFERÍ SIGÚENZA LÓPEZ,FERNANDO DE JESÚS CHÁVEZ OLIVA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0140-45,09-01-0426,QUETZALTENANGO,QUETZALTENANGO,COLEGIO PARA SEÑORITAS ENCARNACION ROSAL,12 AVE. 3-09 ZONA 1,77258985,PEDRO GERÓNIMO SARAT CHAJ,SARA JULIETA LÓPEZ MARTINEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0141-45,09-01-0424,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO MIXTO ""SUIZO QUETZALTENANGO""",1RA CALLE 43-50 ZONA 8,77635523,ROSEMERY GUADALUPE PIEDRASANTA,MIRNA LETICIA CIFUENTES GODINEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0142-45,09-041,QUETZALTENANGO,QUETZALTENANGO,IPMB LICEO QUEZALTECO,9A AVE. D4-71 ZONA 1,41460696,WILSON RANFERI SIGUENZA LOPEZ,FRANCISCO JAVIER MOSCOSO OSORIO,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0143-45,09-006,QUETZALTENANGO,QUETZALTENANGO,COLEGIO MIXTO BILINGUE SAN PABLO,16 AVENIDA 6-45 ZONA 3,77674729,PEDRO GERÓNIMO SARAT CHAJ,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0144-45,09-01-0432,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO ""MARIA AUXILIADORA""",3A CALLE 16-17 ZONA 3,77630281,MIGDALIA AZUCENA LOARCA CRUZ,YULISSA ANABELY OCHOA CIFUENTES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0145-45,09-01-0430,QUETZALTENANGO,QUETZALTENANGO,COLEGIO EVANGELICO LA PATRIA,19 AVENIDA 1-28 ZONA 3,77742400,WILSON RANFERÍ SIGÚENZA LÓPEZ,ERICK ESTUARDO COBAQUIL LARA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0146-45,09-041,QUETZALTENANGO,QUETZALTENANGO,LICEO GUATEMALA,AVENIDA LAS AMERICAS 9-80 ZONA 9,77632393,WILSON RANFERI SIGUENZA LOPEZ,FRANCISCO SAUL DE LEÓN PIEDRASANTA,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0147-45,09-01-0424,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO TECNOLÓGICO PRIVADO DE OCCIDENTE,2A. CALLE A 5-13 ZONA 9,77671956,ROSEMERY GUADALUPE PIEDRASANTA,ALVARO GUILLERMO ARELLANO RODAS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0148-45,09-01-0432,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO EXPERIMENTAL HUMANIDADES,1A CALLE 13-09 ZONA 1,77651466,MIGDALIA AZUCENA LOARCA CRUZ,LIGIA GUADALUPE RÍMOLA DIAZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0149-45,,QUETZALTENANGO,QUETZALTENANGO,IPMB 'LICEO QUEZALTECO',9A AVE. D4-71 ZONA 1,,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0150-45,09-041,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO MIXTO ""SAN AGUSTÍN""",14 AVENIDA 0-69 ZONA 1,79268169,WILSON RANFERI SIGUENZA LOPEZ,GERARDO DE JESÚS ARGUETA ESTRADA,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,QUETZALTENANGO
09-01-0151-45,09-007,QUETZALTENANGO,QUETZALTENANGO,IPMB 'COLEGIO CORAZON DE JESUS',15 AVENIDA 0-36 ZONA 1,52194780,MIGDALIA AZUCENA LOARCA CRÚZ,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,QUETZALTENANGO
09-01-0152-45,09-007,QUETZALTENANGO,QUETZALTENANGO,IPMB 'LICEO MODERNO',7A AVE. 6-45 ZONA 1,77614475,MIGDALIA AZUCENA LOARCA CRÚZ,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0153-45,09-01-0434,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO EVANGELICO DE OCCIDENTE,4A CALLE 25-92 ZONA 1,77654062,IRIS ONDINA HERNÁNDEZ ROJAS DE SOTO,YENSY ROBERTO DÍAZ SOLÍS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0154-45,09-004,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO MIXTO ""LICEO EDUCACIONAL LIVERMORE""",CALLE RODOLFO ROBLES 17-30 ZONA 3,77631884,DINA RUBI GONZALEZ DE LEON,MARTA CONSUELO GARCÍA ARRIOLA,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0162-45,09-036,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO MIXTO BILINGUE ""SANTO DOMINGO SAVIO""",7A. CALLE 29-75 ZONA 3,77675079,OBDULIO ROLANDO RUIZ ALVA,INGRID YOLANDA BOJ COJAM,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0163-45,09-006,QUETZALTENANGO,QUETZALTENANGO,COLEGIO PRE-UNIVERSITARIO PESTALOZZI,8A. CALLE 5-13 ZONA 1,77669611,PEDRO GERÓNIMO SARAT CHAJ,BETTY AMELIA ARGUETA CHUN,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,QUETZALTENANGO
09-01-0166-45,09-01-0432,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO ""EL PILAR""",0 CALLE 42-15 ZONA 9,41701779,MIGDALIA AZUCENA LOARCA CRUZ,EDNA VICTORIA ROMERO CACACHO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0188-45,09-01-0434,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO MIXTO DE EDUCACION BASICA POR COOPERATIVA DE ENSEÑANZA MINERVA,"LAS TRES CRUCES, CANTÓN CHITUX",51731849,IRIS ONDINA HERNÁNDEZ ROJAS DE SOTO,DANNY CRISTIAN GARCÍA ESCOBAR,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0189-45,09-01-0427,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO MIXTO DE EDUCACION BASICA POR COOPERATIVA DE ENSEÑANZA EL PEDREGAL,"LAS INSTALACIONES DE LA EOUM ""SAN BARTOLOME"" 3RA. AVENIDA 0-49 ZONA 4",78424092,DINA RUBÍ GONZÁLEZ DE LEÓN,CARLOS HUMBERTO XILOJ CHIM,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0190-45,09-01-0428,QUETZALTENANGO,QUETZALTENANGO,INEB,"COLONIA DR. ROBERTO MOLINA, ZONA 5",47454734,JUAN CARLOS RONQUILLO,GIOVANNI GUADALUPE GARCÍA COLOP,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0191-45,09-01-0433,QUETZALTENANGO,QUETZALTENANGO,INEB,COLONIA EL MAESTRO,55559768,INGRID MIRTALA LÓPEZ GALINDO DE ARANA,JULIO ISRAEL OVALLE DE LEÓN,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0192-45,09-01-0431,QUETZALTENANGO,QUETZALTENANGO,INEB,COLONIA SAN ANTONIO,56903201,ZOILA WILDA CAJAS DE PAZ DE RAMÍREZ,SHIRLEY MERARY MEJÍA ANIZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
