0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
09-01-0002-42,09-01-0429,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO MIXTO ""LICEO ALTENSE""",8A CALLE 4-10 ZONA 1,77612629,MARÍA LETICIA PIRIR AVILA DE DE LEÓN,ILIANA ELIZABETH GARCIA SOTO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0003-42,09-036,QUETZALTENANGO,QUETZALTENANGO,EPDP 'ALDEA INFANTIL S.O.S.',22 AVE. 2-61 ZONA 3,77612372,OBDULIO ROLANDO RUIZ ALVA,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0004-42,09-01-0476,QUETZALTENANGO,QUETZALTENANGO,COLEGIO ALIANZA,"DIAGONAL 11 D12-03 ZONA 1,",77610760,FRANCISCO MIGUEL TIRADO HUINAC,CINDY ANA MARÍA SACALXOT BÁTEN,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0005-42,09-002,QUETZALTENANGO,QUETZALTENANGO,ANEXA A COLEGIO 'AMERICANO',AVE JESUS CASTILLO A-74 ZONA 1,77630189,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,.,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0006-42,09-01-0426,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO MIXTO EVANGÉLICO ""BETHEL""",14 AVENIDA 0-69 ZONA 1,77631342,PEDRO GERÓNIMO SARAT CHAJ,EDGAR MAURICIO SIGÜENZA CALDERON,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0007-42,09-006,QUETZALTENANGO,QUETZALTENANGO,EPDP ANEXA A COLEGIO 'BETHANIA',CALLE 'C' 0-22 ZONA 1,77630164,PEDRO GERÓNIMO SARAT CHAJ,FERNANDO DAVID RIVERA ESPAÑA,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0008-42,09-01-0424,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO MIXTO ""CAPULLITOS""",20 AVENIDA 1-16 ZONA 1,41880452,ROSEMERY GUADALUPE PIEDRASANTA,ANGÉLICA MARÍA PAZ CASTRO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0009-42,,QUETZALTENANGO,QUETZALTENANGO,EPDP ANEXA A COLEGIO EVANGELICO 'EL CAMINO',5A CALLE 14-48 ZONA 3,77674794,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0010-42,09-01-0426,QUETZALTENANGO,QUETZALTENANGO,COLEGIO PARA SEÑORITAS ENCARNACION ROSAL,12 AVE. 3-09 ZONA 1,77258985,PEDRO GERÓNIMO SARAT CHAJ,SARA JULIETA LÓPEZ MARTINEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0011-42,09-006,QUETZALTENANGO,QUETZALTENANGO,EPDP ANEXA A COLEGIO 'GUATEMALTECO ALEMAN FEDERICO FROEBEL',7A. CALLE 12-51 ZONA 3,,PEDRO GERÓNIMO SARAT CHAJ,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0012-42,09-01-0434,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO EVANGELICO DE OCCIDENTE,4A CALLE 25-92 ZONA 1,77654062,IRIS ONDINA HERNÁNDEZ ROJAS DE SOTO,YENSY ROBERTO DÍAZ SOLÍS,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0013-42,09-01-0430,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO DE ESTUDIOS AVANZADOS DE OCCIDENTE,AV. JESUS CASTILLO 1-81 ZONA 3,77611270,WILSON RANFERÍ SIGÚENZA LÓPEZ,SARAÍ BETSABÉ LOARCA VIDES,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0014-42,09-007,QUETZALTENANGO,QUETZALTENANGO,LICEO GUATEMALA,AVENIDA LAS AMERICAS 9-80 ZONA 9,77632393,MIGDALIA AZUCENA LOARCA CRÚZ,FRANCISCO SAUL DE LEÓN PIEDRASANTA,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
