0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
12-01-0042-45,12-01-0551,SAN MARCOS,SAN MARCOS,"INEB ""JUSTO RUFINO BARRIOS""","ALDEA CAXAQUE, SAN MARCOS",77608232,AMILSA YAMILETH ESTRADA RODRÍGUEZ,ISAÍAS MOISÉS CASTRO CARDONA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0043-45,12-01-0555,SAN MARCOS,SAN MARCOS,"INSTITUTO NACIONAL EXPERIMENTAL DE EDUCACION BASICA CON ORIENTACION OCUPACIONAL ""PROFESORA MARIA CRISTINA BARRIOS""",CALZADA 25 DE ABRIL ZONA 5,77601832,CÉSAR AUGUSTO FUENTES DEL VALLE,ANA SETH OROZCO CASTAÑÓN,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0044-45,12-001,SAN MARCOS,SAN MARCOS,INSTITUTO MIXTO NOCTURNO DE EDUCACION MEDIA,ZONA 2 CANTON SAN RAMON,41936394,ENIO RELMAN MALDONADO SOLIS,NARDY MARIELA DE LEÓN MUÑOZ,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SAN MARCOS
12-01-0046-45,12-01-0558,SAN MARCOS,SAN MARCOS,IEBC INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA,ALDEA SAN ANTONIO SERCHIL,58835381,OSCAR LEONEL OROZCO MONZÓN,FRANKLIN ADULFO BERNARDO PÉREZ,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0047-45,12-01-0557,SAN MARCOS,SAN MARCOS,IEBC INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA,ALDEA SAN SEBASTIAN,50582918,JORGE EGBERTO SOLORZANO SANCHEZ,JOSÉ ESTUARDO MACARIO,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0049-45,12-01-0552,SAN MARCOS,SAN MARCOS,INSTITUTO ADOLFO V. HALL DE OCCIDENTE,3A. AVENIDA 11-154 ZONA 1,39913219,ENIO RELMAN MALDONADO SOLIS,GÉRSON FRANCISCO BORRAYO BARRIENTOS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0050-45,12-01-0554,SAN MARCOS,SAN MARCOS,"COLEGIO ""SAN MARCOS""",6A. AVENIDA 4-92 ZONA 2,77604147,HELIUV EDILZAR VÁSQUEZ NAVARRO,CAROLINA PATRICIA MARTÍNEZ TRUJILLO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0051-45,12-001,SAN MARCOS,SAN MARCOS,COLEGIO PRIVADO MIXTO BACHILLERATO POR MADURES,8A. AVENIDA 4-21 ZONA 2,77601360,ENIO RELMAN MALDONADO SOLIS,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-01-0052-45,,SAN MARCOS,SAN MARCOS,IPMB 'BACHILLERATO POR MADUREZ',8A. AVENIDA 4-21 ZONA 2,,,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SAN MARCOS
12-01-0053-45,12-01-0555,SAN MARCOS,SAN MARCOS,COLEGIO PARTICULAR MIXTO SAGRADO CORAZON,10A. AVENIDA 9-71 ZONA 3,77601164,CÉSAR AUGUSTO FUENTES DEL VALLE,MAGNOLIA ROSALETT CIFUENTES BARRIOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0054-45,12-100,SAN MARCOS,SAN MARCOS,IPMB COLEGIO SAGRADO CORAZON (BACHILLERATO POR MADUREZ),10A. AVENIDA 9-71 ZONA 3,,JORGE EBERTO SOLORZANO SANCHEZ,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0076-45,12-063,SAN MARCOS,SAN MARCOS,COLEGIO PRIVADO MIXTO INTERVIDA,ALDEA LAS LAGUNAS,77608481,HELIUV EDILZAR VASQUEZ NAVARRO,CELIA IVONNE MALDONADO REYNA,BASICO,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0077-45,12-01-0554,SAN MARCOS,SAN MARCOS,"COLEGIO PREUNIVERSITARIO ""GALILEO""","12 AVENIDA 3-33 ZONA 4, CANTON SANTO DOMINGO",77679743,HELIUV EDILZAR VÁSQUEZ NAVARRO,LIBNY BERENISSE AVILA MAZARIEGOS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0079-45,12-01-0554,SAN MARCOS,SAN MARCOS,"COLEGIO PRIVADO URBANO MIXTO ""AMIGOS""",7A. CALLE 12-99 ZONA 4,41508727,HELIUV EDILZAR VÁSQUEZ NAVARRO,EDIT ORFA VÁSQUEZ OROZCO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0081-45,12-100,SAN MARCOS,SAN MARCOS,"INSTITUTO PRIVADO MIXTO ""SAN CARLOS""",8 AV. 4-21 ZONA 2,77601549,JORGE EBERTO SOLORZANO SANCHEZ,EDGAR ROLANDO SIGÜENZA RODRÍGUEZ,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-01-0083-45,12-01-0551,SAN MARCOS,SAN MARCOS,INSTITUTO NACIONAL DE EDUCACION BASICA,ALDEA CAXAQUE,44842516,AMILSA YAMILETH ESTRADA RODRÍGUEZ,MARIA ELENA MUÑOZ PAZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0084-45,12-01-0555,SAN MARCOS,SAN MARCOS,INEB,"CALZADA 25 DE ABRIL, ZONA 5",58436869,CÉSAR AUGUSTO FUENTES DEL VALLE,MARIA ESTELA SANTOS ESCALANTE,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0090-45,12-025,SAN MARCOS,SAN MARCOS,INSTITUTO SAN CARLOS,COLONIA SANTA MARIA,77707449,SOFIA DEL PILAR CARREDANO ROMERO DE BARRIOS,LUIS FERNANDO RODRIGUEZ NATARENO,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-01-0103-45,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PARTICULAR MIXTO ""JERUSALEM""",5A. CALLE 9-38 ZONA 4,59940874,HELIUV EDILZAR VASQUEZ NAVARRO,DELIA MAEGLI DE LEÓN OVALLE,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-01-0107-45,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO CIENTIFICO INTEGRADO ""ALBERT EINSTEIN""","1RA. CALLE ENTRE 14 Y 15 AVENIDA, CALLEJON JARDINES DE VENECIA 1-89 ZONA 5",77609695,HELIUV EDILZAR VASQUEZ NAVARRO,MARÍA ELENA MUÑOZ PAZ,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0121-45,12-01-0553,SAN MARCOS,SAN MARCOS,INEB DE TELESECUNDARIA,ALDEA CANAQUE,30337166,ADELSO JUÁN NOLASCO AMBROCIO,GLENDY EMÉRITA ORÓZCO BAUTISTA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0122-45,12-01-0552,SAN MARCOS,SAN MARCOS,INEB,10 AVENIDA 8-27 ZONA 3,58348714,ENIO RELMAN MALDONADO SOLIS,KARINA PATRICIA GÓMEZ OROZCO,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0130-45,12-080,SAN MARCOS,SAN MARCOS,COLEGIO EVANGELICO MIXTO CENTROAMERICANO,"6TA. CALLE FINAL, CANTON MORAZÁN",41460800,RAMIRO ARMANDO OCHOA MALDONADO,SARA ELIZABETH DARDON GONZALEZ,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-01-0138-45,12-01-0553,SAN MARCOS,SAN MARCOS,INSTITUTO DE EDUCACION BASICA POR COOPERATIVA,ALDEA EL RODEO,48509283,ADELSO JUÁN NOLASCO AMBROCIO,JOSÉ LUIS CHÚN GONZÁLEZ,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0150-45,12-100,SAN MARCOS,SAN MARCOS,COORDINACIÓN DEPARTAMENTAL DE TELESECUNDARIA DE SAN MARCOS,8A. AVENIDA 9-00 ZONA 1,79638282,JORGE EBERTO SOLORZANO SANCHEZ,JORGE EBERTO SOLORZANO SÁNCHEZ,BASICO,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0152-45,12-01-0554,SAN MARCOS,SAN MARCOS,"COLEGIO BILINGÜE ""ADVANCE""",5TA. CALLE 5-81 ZONA 2,77602870,HELIUV EDILZAR VÁSQUEZ NAVARRO,YESENIA AZUCENA GÓMEZ ROMERO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0154-45,12-01-0552,SAN MARCOS,SAN MARCOS,COLEGIO BILINGÜE MONTESSORI,5TA. CALLE 7-34 ZONA 2,77608087,ENIO RELMAN MALDONADO SOLIS,EVERTO ROBLERO GÁLVEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0156-45,12-109,SAN MARCOS,SAN MARCOS,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX,MALACATÁN,50078569,ELUVIA VANESSA DE LEÓN VEGA DE ARANDI,EMERSON MAUDIEL BARRERA MALDONADO,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0157-45,12-109,SAN MARCOS,SAN MARCOS,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX,ALDEA LAS LAGUNAS,48815029,ELUVIA VANESSA DE LEÓN VEGA DE ARANDI,MARITZA ANAYTÉ LÓPEZ LÓPEZ,BASICO,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0160-45,12-01-0555,SAN MARCOS,SAN MARCOS,COLEGIO BILINGÜE JUAN PABLO SEGUNDO,6TA. CALLE 15-153 ZONA 4,77259502,CÉSAR AUGUSTO FUENTES DEL VALLE,PATRICIA ELIZABETH ROLDAN OROZCO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0163-45,12-01-0552,SAN MARCOS,SAN MARCOS,COLEGIO MIXTO EVANGÉLICO CASA DE JEHOVÁ,5TA CALLE 14-42 ZONA 5,56934853,ENIO RELMAN MALDONADO SOLIS,MARÍA LORENA MONTÚFAR BOJ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0164-45,12-100,SAN MARCOS,SAN MARCOS,COLEGIO MIXTO EVANGÉLICO CASA DE JEHOVÁ,5TA CALLE 14-42 ZONA 5,56934853,JORGE EBERTO SOLORZANO SANCHEZ,MARÍA LORENA MONTÚFAR BOJ,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0165-45,12-100,SAN MARCOS,SAN MARCOS,COLEGIO MIXTO EVANGÉLICO CASA DE JEHOVÁ,5TA CALLE 14-42 ZONA 5,56934853,JORGE EBERTO SOLORZANO SANCHEZ,MARÍA LORENA MONTÚFAR BOJ,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-01-0179-45,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PARTICULAR MIXTO ""JERUSALEM""",5A. CALLE 9-38 ZONA 4,77609611,HELIUV EDILZAR VASQUEZ NAVARRO,DELIA MAEGLI DE LEÓN OVALLE,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),SAN MARCOS
12-01-0181-45,12-01-0558,SAN MARCOS,SAN MARCOS,"COLEGIO PARTICULAR MIXTO ""SAN ANTONIO""",ALDEA SAN ANTONIO SERCHIL,48509283,OSCAR LEONEL OROZCO MONZÓN,JOSÉ LUIS CHÚN GONZÁLEZ,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
