0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
06-01-0036-45,06-01-0302,SANTA ROSA,CUILAPA,INEBE CON ORIENTACION OCUPACIONAL DR. JUAN JOSE AREVALO BERMEJO,"2A. AVENIDA 4A. CALLE, BARRIO LA PARROQUIA ZONA 3",78865440,IRMA YOLANDA CHACÓN ARROYO,VERA MAGALY SAMAYOA RUEDA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0037-45,06-01-0302,SANTA ROSA,CUILAPA,IEBC DE ENSEÑANZA,BARRIO LAS DELICIAS,78865054,IRMA YOLANDA CHACÓN ARROYO,VERONICA LIZZET CALDERON CASTILLO,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0038-45,06-001,SANTA ROSA,CUILAPA,LICEO CUILAPA,CABECERA MUNICIPAL,58560517,IRMA YOLANDA CHACON ARROYO,NERY FRANCISCO MAURICIO LÓPEZ,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SANTA ROSA
06-01-0041-45,06-001,SANTA ROSA,CUILAPA,"COLEGIO TECNICO-INDUSTRIAL ""EMANUEL""","2A. AVENIDA 1-53 ZONA 4, BARRIO EL LLANITO",78207936,IRMA YOLANDA CHACON ARROYO,MARLEN JANETH LÓPEZ CALDERON,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0060-45,06-01-0305,SANTA ROSA,CUILAPA,IEBC DE ENSEÑANZA,"ALDEA GUACAMAYAS, VILLA LAURA",56904546,DOMINGO ANTONIO LÓPEZ TICÚN,RUBIDIA GONZÁLEZ JIMÉNEZ,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0062-45,06-01-0302,SANTA ROSA,CUILAPA,INEB,"""BARRIO LA PARROQUIA""",78866044,IRMA YOLANDA CHACÓN ARROYO,ODRA KARINA VÁSQUEZ SOLÓRZANO,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0063-45,06-01-0304,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,CASERIO LAGUNA DE SAN JOSE,42491736,WANGNER VIRGILIO GONZALEZ RUANO,MEDARDO SALAZAR BOLAÑOS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0064-45,06-01-0303,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,ALDEA VILLA GRACIELA,44821589,SINTYA MARISELA JUAREZ LOPEZ DE POSADAS,EDY FRANCISCO CALEL MIJANGOS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0065-45,06-01-0302,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,"CALLE PRINCIPAL, ALDEA EL JICARO",47138062,IRMA YOLANDA CHACÓN ARROYO,MARILYN ANALY GALIZ GARCIA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0066-45,06-01-0303,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,ALDEA NUEVA CANDELARIA,59926206,SINTYA MARISELA JUAREZ LOPEZ DE POSADAS,CÉSAR ARMANDO CORONADO FRANCO,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0067-45,06-01-0304,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,ALDEA NUEVA PROVIDENCIA,45125103,WANGNER VIRGILIO GONZALEZ RUANO,SILVIA AMPARO CHAJON LOPEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0068-45,06-01-0305,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,"CASERÍO EL RENACIMIENTO, ALDEA LOS ESCLAVOS",50197979,DOMINGO ANTONIO LÓPEZ TICÚN,ABEL MIZRAI ALVAREZ GONZÁLEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0082-45,06-01-0304,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,ALDEA SAN NICOLAS,35653023,WANGNER VIRGILIO GONZALEZ RUANO,FLORIDALMA LÓPEZ RAMÍREZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0086-45,06-01-0303,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,CASERÍO LOS CHILITOS,59395255,SINTYA MARISELA JUAREZ LOPEZ DE POSADAS,BELTER JOEL ESQUITE PEREZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0102-45,06-001,SANTA ROSA,CUILAPA,"COLEGIO ""MARÍA MONTESSORI""",BARRIO EL LLANITO,78865572,IRMA YOLANDA CHACON ARROYO,WENDY ANABELLA MEDA SEIJAS,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0104-45,06-01-0302,SANTA ROSA,CUILAPA,"CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- ""COOPERATIVA EL RECUERDO""",CENTRO CULTURAL DE LAS AMERICAS 5 CALLE 1-09 ZONA 1,78866063,IRMA YOLANDA CHACÓN ARROYO,ALEYDA MARGARITA MONTENEGRO HERNÁNDEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SANTA ROSA
06-01-0106-45,06-001,SANTA ROSA,CUILAPA,COORDINACION DEPARTAMENTAL DE TELESECUNDARIA DE SANTA ROSA,4A. CALLE 2-55 ZONA 4 BARRIO EL LLANITO,55559818,IRMA YOLANDA CHACON ARROYO,ARCENIO CASTILLO COLINDRES,BASICO,OFICIAL,URBANA,TEMPORAL NOMBRAMIENTO,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0111-45,06-01-0304,SANTA ROSA,CUILAPA,"COLEGIO CATÓLICO ECO-TECNOLÓGICO ""SAGRADO CORAZÓN DE JESÚS""","EL BOQUERÓN, KILÓMETRO 66, CUILAPA, SANTA ROSA",35702888,WANGNER VIRGILIO GONZALEZ RUANO,POLIANA BISPO TRIGUEIRO,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0112-45,06-01-0305,SANTA ROSA,CUILAPA,"COLEGIO PARTICULAR MIXTO ""DIVINO NIÑO""","COLONIA LAS VICTORIAS CUILAPA, SANTA ROSA",59495525,DOMINGO ANTONIO LÓPEZ TICÚN,LINIKER AUGUSTO HERNÁNDEZ MELÉNDEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0115-45,06-039,SANTA ROSA,CUILAPA,"CENTRO DE EDUCACIÓN EXTRAESCOLAR ""SANTA ROSITA""",CENTRO PREVENTIVO EL BOQUERON,30157695,JORGE BALDOMERO GONZALEZ BARRERA,GRICELDA ESCOBAR LEMUS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0117-45,06-039,SANTA ROSA,CUILAPA,"""CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-DEPARTAMENTAL""","4A. CALLE 2-55 ZONA 4 BARRIO EL LLANITO, CUILAPA, SANTA ROSA",78865585,JORGE BALDOMERO GONZALEZ BARRERA,MARTA JULIA BARRERA BARRERA DE ALVAREZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,SANTA ROSA
06-01-0120-45,06-01-0302,SANTA ROSA,CUILAPA,COLEGIO TECNOLÓGICO BILINGÜE EL HERMANO PEDRO,"COLONIA CHINA, CUILAPA, SANTA ROSA",78865470,IRMA YOLANDA CHACÓN ARROYO,CÉSAR AUGUSTO MIRANDA QUINTANILLA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),SANTA ROSA
06-01-0123-45,06-01-0304,SANTA ROSA,CUILAPA,"COLEGIO CATÓLICO ECO-TECNOLÓGICO ""SAGRADO CORAZON DE JESÚS""","EL BOQUERÓN, KILÓMETRO 66",59511111,WANGNER VIRGILIO GONZALEZ RUANO,DELMY PATRICIA CONTRERAS RASHJAL,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),SANTA ROSA
06-01-0129-45,06-001,SANTA ROSA,CUILAPA,NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO NUFED NO. 393,ALDEA LOS ESCLAVOS,55958965,IRMA YOLANDA CHACON ARROYO,SHENY ELIZABETH BARILLAS VELASQUEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0133-45,06-001,SANTA ROSA,CUILAPA,"COLEGIO PARTICULAR MIXTO ""DIVINO NIÑO""",COLONIA LAS VICTORIAS,59495525,IRMA YOLANDA CHACON ARROYO,LISBETH CAROLINA SEN CASÚN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),SANTA ROSA
06-01-0137-45,06-01-0304,SANTA ROSA,CUILAPA,"COLEGIO CATÓLICO ECO-TECNOLÓGICO ""SAGRADO CORAZON DE JESÚS""",KILÓMETRO 66 EL BOQUERÓN,35702888,WANGNER VIRGILIO GONZALEZ RUANO,POLIANA BISPO TRIGUEIRO,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-1069-45,06-01-0303,SANTA ROSA,CUILAPA,COLEGIO PARTICULAR MIXTO BILINGUE SANTA FAMILIA,ALDEA SAN JUAN DE ARANA,41447490,SINTYA MARISELA JUAREZ LOPEZ DE POSADAS,DAVID GUILLERMO BARRIENTOS VALDEZ,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-1135-45,06-001,SANTA ROSA,CUILAPA,CPMI 'NUESTRA SEÑORA DEL ROSARIO',"2A. AVENIDA 1-90 ZONA 4, BARRIO LA PARROQUIA",78875349,IRMA YOLANDA CHACON ARROYO,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-1171-45,06-001,SANTA ROSA,CUILAPA,COLEGIO BILINGUE CENTRO DE LAS AMERICAS,BARRIO EL CALVARIO,78865838,IRMA YOLANDA CHACON ARROYO,DOUGLAS RODOLFO BLANCO SANTOS,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
