0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
06-01-0001-42,06-01-0305,SANTA ROSA,CUILAPA,EODP,ALDEA LOS ESCLAVOS,42197941,DOMINGO ANTONIO LÓPEZ TICÚN,CINDY MELISSA SOLARES SOLARES,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0002-42,06-01-0302,SANTA ROSA,CUILAPA,EODP EMILIA MEYER,1A AVENIDA 4-35 ZONA 4,78866523,IRMA YOLANDA CHACÓN ARROYO,IRIS LORENA SÁNCHEZ HERNÁNDEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0003-42,06-001,SANTA ROSA,CUILAPA,COLEGIO INFANTIL MARIA MONTESSORI,BARRIO EL LLANITO,78865572,IRMA YOLANDA CHACON ARROYO,FLORENCIA BEATRÍZ GREGORIO SIL,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0004-42,,SANTA ROSA,CUILAPA,EODP ANEXA A CENTRO DE BIENESTAR SOCIAL,BARRIO EL LLANITO,,,,PARVULOS,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0005-42,06-001,SANTA ROSA,CUILAPA,CPMI JOHN FITZGERALD KENNEDY,COLONIA VALLADARES,55174049,IRMA YOLANDA CHACON ARROYO,NERY FRANCISCO MAURICIO LÓPEZ,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0008-42,,SANTA ROSA,CUILAPA,EPRM,PARCELAMIENTO LA CUARENTISEIS,,,,PARVULOS,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0023-42,06-01-0305,SANTA ROSA,CUILAPA,EODP ANEXA A EORM EL CIELITO,ALDEA EL CIELITO,56900295,DOMINGO ANTONIO LÓPEZ TICÚN,DEYSI NOEMY GÓMEZ LUCHA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0042-42,06-01-0303,SANTA ROSA,CUILAPA,EODP,CASERIO BRISAS DEL ZAPOTE,51957611,SINTYA MARISELA JUAREZ LOPEZ DE POSADAS,GLENDY ODALIS TECUN GUERRA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0043-42,06-01-0304,SANTA ROSA,CUILAPA,EODP,CASERIO CUESTA CHIQUITA,37892079,WANGNER VIRGILIO GONZALEZ RUANO,SONIA MARISOL AGUILAR MORALES,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0044-42,06-01-0302,SANTA ROSA,CUILAPA,EODP,COLONIA NUESTRA SEÑORA CONSOLADORA DEL CARPINELLO,58354584,IRMA YOLANDA CHACÓN ARROYO,AXEL ENRIQUE SALAZAR,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0046-42,06-01-0302,SANTA ROSA,CUILAPA,EODP,CASERIO SAN MATEO,59400750,IRMA YOLANDA CHACÓN ARROYO,FLORITA ISABEL LOY SÁNCHEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0059-42,06-01-0303,SANTA ROSA,CUILAPA,EODP,PARCELAMIENTO CONCEPCION,45212914,SINTYA MARISELA JUAREZ LOPEZ DE POSADAS,MIRNA LORENA MORALES PINEDA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0070-42,06-01-0304,SANTA ROSA,CUILAPA,EODP ANEXA A EORM,CASERIO LA MASCOTILLA,40183488,WANGNER VIRGILIO GONZALEZ RUANO,ELSA YANETH MAYÉN LÓPEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0071-42,06-01-0304,SANTA ROSA,CUILAPA,EODP ANEXA A EORM,CASERIO EL RETIRO,47174159,WANGNER VIRGILIO GONZALEZ RUANO,ANA LORENA ORELLANA LÓPEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0072-42,06-01-0304,SANTA ROSA,CUILAPA,EODP ANEXA A EORM,CASERIO LAS ANIMAS,58790566,WANGNER VIRGILIO GONZALEZ RUANO,SILVIA LETICIA RAMÍREZ LÓPEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0073-42,06-01-0304,SANTA ROSA,CUILAPA,EODP ANEXA A EORM,CASERIO EL REPARADERO,39727565,WANGNER VIRGILIO GONZALEZ RUANO,IRIS CRISTINA GONZÁLEZ SOLARES,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0074-42,06-01-0305,SANTA ROSA,CUILAPA,EODP ANEXA A EORM,COLONIA BELLA VISTA,50196601,DOMINGO ANTONIO LÓPEZ TICÚN,MARIA DEL ROSARIO RUANO MERIDA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0075-42,06-01-0302,SANTA ROSA,CUILAPA,EODP,CASERIO CUILAPILLA,42141951,IRMA YOLANDA CHACÓN ARROYO,LESVIA MAGNOLIA MAURICIO HERNÁNDEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0076-42,06-001,SANTA ROSA,CUILAPA,EODP,CASERIO EL RENACIMIENTO,,IRMA YOLANDA CHACON ARROYO,---,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0077-42,06-01-0305,SANTA ROSA,CUILAPA,EODP,"CASERIO EL POLVORIN, ALDEA LOS ESCLAVOS",41185808,DOMINGO ANTONIO LÓPEZ TICÚN,EVELYN NINETH GONZÁLEZ DEL CID,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0079-42,06-01-0305,SANTA ROSA,CUILAPA,EODP,COLONIA BUENA VISTA,55553245,DOMINGO ANTONIO LÓPEZ TICÚN,SUSANA MARÍA DÍAZ REYES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SANTA ROSA
