0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
10-01-0069-45,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,INEB CON ORIENTACION OCUPACIONAL 'LIC. JULIO CESAR MENDEZ MONTENEGRO',CANTON SANTA CRISTINA ZONA 2,54142247,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,CLAUDIA LORENA MARTINEZ RECINOS DE CAMEY,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0070-45,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,INEB CON ORIENTACION OCUPACIONAL 'LIC. JULIO CESAR MENDEZ MONTENEGRO',CANTON SANTA CRISTINA ZONA 2,55151890,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,CARMEN FERNANDA TOJÍN GARCÍA,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0071-45,10-99-0481,SUCHITEPEQUEZ,MAZATENANGO,INEB ADSCRITO A ESCUELA NACIONAL DE CIENCIAS COMERCIALES,CANTON SANTA CRISTINA,57172460,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,VIVIAN ELISA CABRERA GRAMAJO,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0073-45,10-019,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO LATINOAMERICANO GOSPEL,SALIDA A GUATEMALA KM. 150.5,78723282,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,MARIA LEONOR PENAGOS DE LOPEZ,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SUCHITEPÉQUEZ
10-01-0074-45,10-01-0483,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO DE COMPUTACION INFORMATICA,"COLONIA SAN BARTOLOME, 4A. CALLE FINAL",78721357,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,LORENA BEATRÍZ REYNOSO GUZMÁN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0075-45,10-01-0511,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO LATINOAMERICANO GOSPEL,"12 CALLE 4-45, ZONA 1",77911907,HEILYN MIRELLA GONZÁLEZ XAR DE QUINTEROS,GLORIA CELESTE ROBLES RODAS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0076-45,10-01-0480,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO CIENTIFICO Y TECNOLOGICO ""BLAISE PASCAL""",1RA. AV. SUR FINAL 12-70 ZONA 2,59465095,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,JAQUELINE ESPERANZA LIMA LINARES,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0077-45,10-018,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO EL CARMEN,,78720430,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0078-45,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO LICEO MAZATECO,6A. AVENIDA 2-21 ZONA 1,78720482,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,SINDY CARLOTA MANCIO MÉNDEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0079-45,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PRIVADO MIXTO ""PERPETUO SOCORRO""",1A CALLE 3-39 ZONA 1,41614325,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,SENAIDA ANAVELA BARRIENTOS CASEROS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0080-45,,SUCHITEPEQUEZ,MAZATENANGO,IPMB 'REPUBLICA DE GUATEMALA',8A CALLE 2-35 ZONA 1,,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0081-45,,SUCHITEPEQUEZ,MAZATENANGO,IPMB 'REPUBLICA DE GUATEMALA',3A AVE. 6-29 ZONA 1,78720041,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0082-45,,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO EL ROSARIO,2A. AVENIDA 4-84 ZONA 1,78724768,,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0083-45,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO PRIVADO MIXTO TECNOLOGICO DEL SUROCCIDENTE,FINCA CHOJOJA,55103188,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,LIDIA ELIZABETH JEREZ DE LEÓN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0084-45,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PARTICULAR MIXTO ""LA ILUSTRACION""",3A AVE. 4-92 ZONA 1,41639696,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,MARÍA ELENA ROCHA NAVARRO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0085-45,,SUCHITEPEQUEZ,MAZATENANGO,IPMB 'LA JUVENTUD',2A CALLE 3-13 ZONA 1,78722297,,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0092-45,10-019,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PRIVADO ""RAFAEL LANDIVAR""",12 CALLE 4-57 ZONA 1,78720425,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,BONNY KELLY DIANA RAMÍREZ MORALES,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SUCHITEPÉQUEZ
10-01-0093-45,10-99-0481,SUCHITEPEQUEZ,MAZATENANGO,INEB 'RAFAEL LANDIVAR',CANTON SANTA CRISTINA,78725695,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,BRENDA LISSETTE SÁNCHEZ ALVAREZ,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
