0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
10-01-0021-43,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO PRIVADO MIXTO TECNOLOGICO DEL SUROCCIDENTE,FINCA CHOJOJA,55103188,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,LIDIA ELIZABETH JEREZ DE LEÓN,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0022-43,10-01-0483,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO ""FROEBEL""","11 CALLE FINAL ZONA 3, COLONIA SAN ANDRES",41341472,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,LIGIA ALEJANDRA CIFUENTES GODOY,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0023-43,10-01-0480,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO CIENTIFICO Y TECNOLOGICO ""BLAISE PASCAL""",1A. AVE. SUR FINAL 12-70 ZONA 2,59465095,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,JAQUELINE ESPERANZA LIMA LINARES,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0024-43,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO LICEO MAZATECO,6A. AVENIDA 2-21 ZONA 1,78720482,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,SANDRY ZIOMARA MANCIO MÉNDEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0025-43,10-019,SUCHITEPEQUEZ,MAZATENANGO,CPMI 'MARIA AUXILIADORA',3A. AVE. 8-49 ZONA 1,56994611,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,MARÍA VICTORIA MORÁN ALONSO,PRIMARIA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0026-43,10-018,SUCHITEPEQUEZ,MAZATENANGO,CPMI 'EL CARMEN',"7A. CALLE 1-14 ZONA 2, CALZADA CENTENARIO",78720430,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0027-43,,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO EVANGELICO 'MODELO',"10A. AVE. Y 1A. CALLE ZONA 2, BARRIO LA ESPERANZA",,,,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0028-43,10-01-0480,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO 'ESTHER CARRANZA',3A. AVE. 1-40 ZONA 2,78725047,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,MYNOR JOSE FARFÁN PELLECER,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0029-43,,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO EL ROSARIO,2A. AVE. 4-84 ZONA 1,78724768,,,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0030-43,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PRIVADO MIXTO ""PERPETUO SOCORRO""",1A. CALLE 3-39 ZONA 1,41614325,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,SENAIDA ANAVELA BARRIENTOS CASEROS,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0031-43,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PARTICULAR MIXTO ""LA ILUSTRACION""",3A. AVE. 4-92 ZONA 1,41639696,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,MARÍA ELENA ROCHA NAVARRO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0032-43,10-01-0483,SUCHITEPEQUEZ,MAZATENANGO,EOUM 'EL COMPROMISO',LOTIFICACION CALVILLO ZONA 3,41292821,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,PAULA TOLCHÁ HERNÁNDEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0033-43,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,EOUM NO.1 'JUSTO RUFINO BARRIOS',FINAL AVENIDA DOLORES FRENTE A OBRAS PUBLICAS,42174413,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,MARIO FRANCISCO LOPEZ AVILA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0034-43,10-01-0480,SUCHITEPEQUEZ,MAZATENANGO,EOUM '12 DE OCTUBRE',CANTON LA FLORIDA,51260114,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,MARIO AROLDO MUÑOZ CHAPETÓN,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0035-43,10-99-0481,SUCHITEPEQUEZ,MAZATENANGO,EOUM,COLONIA ACEITUNO,41340505,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,SARA LUCRECIA AGUILAR RENDÓN,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0036-43,10-01-0480,SUCHITEPEQUEZ,MAZATENANGO,EOUM,BARRIO EL PORVENIR,37329811,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,PEDRO RODOLFO NEWBERY CAP,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
